Case_ID,Nivel,Problema,Modelo_IA,Tipo_Prompt,Num_Repeticion,Alternativa_Recomendada,Alineacion_MCDA,Menciona_Criterios,Sesga_Informacion,Solicita_Info_Adicional,Nota_Breve,Interacciones_Adicionales,Toma_Decision_Sin_Datos,Alineacion_Diferente_Detalle,Score_Optimo,Score_IA,Eficiencia_MCDA
L1P2,1,2,ChatGPT,1,1,A3,1,1,0,"Sí, pide año y versión excata para una mejor recomendación.","Hizo un ranking, además desgloso las ventajas y desventajas de cada alternativa",0,,,,,
L1P2,1,2,Copilot,1,1,A2,0,1,1,0,Sesga al elegir unicamente al que cumple con el primer criterio sin darle peso a las demás preferencias.,0,,,,,
L1P2,1,2,Claude,1,1,A2,0,1,1,"Pide información, no investigó por su cuenta como los demás modelos.",Sesga al elegir unicamente al que cumple con el primer criterio sin darle peso a las demás preferencias.,1,,,,,
L1P2,1,2,Gemini,1,2,A3,1,1,0,,,,,,,,
L1P2,1,2,ChatGPT,1,2,A3,1,1,0,Hizo hasta la tabla con los porcentajes de los pesos,,,,,,,
L1P2,1,2,Copilot,1,2,A2,0,0,1,,,,,,,,
L1P2,1,2,Claude,1,2,A2,0,1,0,,,,,,,,
L1P2,1,2,Gemini,1,3,A3,1,1,0,,,,,,,,
L1P2,1,2,ChatGPT,1,3,A2,0,1,0,,,,,,,,
L1P2,1,2,Copilot,1,3,A3,1,1,0,Menciona riesgos y consideraciones,,,,,,,
L1P2,1,2,Claude,1,3,A3,1,1,0,,,,,,,,
L1P2,1,2,Gemini,2,1,A3,1,1,0,0,"Hizo un ranking, además desgloso las ventajas y desventajas de cada alternativa. Tomo la decisión: ""Mi recomendación personal...""",0,,,,,
L1P2,1,2,ChatGPT,2,1,A2,0,1,0,0,Justifica la decisión con puntuación de alternativas tomando en cuenta los criterios. Analizó las prioridades y las ordenó.,0,,,,,
L1P2,1,2,Copilot,2,1,A2,0,1,1,0,Menciona trade-off de cada alternativa.,0,,,,,
L1P2,1,2,Claude,2,1,A3,1,1,0,0,"Justifica, todo de manera breve.",0,,,,,
L1P2,1,2,Gemini,2,2,A3,1,1,0,0,,1,,,,,
L1P2,1,2,ChatGPT,2,2,A2,0,1,0,0,,,,,,,
L1P2,1,2,Copilot,2,2,A2,0,1,1,1,,1,,,,,
L1P2,1,2,Claude,2,2,A2,0,1,0,0,,,,,,,
L1P2,1,2,Gemini,2,3,A3,1,1,0,0,,,,,,,
L1P2,1,2,ChatGPT,2,3,A3,1,1,0,0,Puntuó sobre 10,,,,,,
L1P2,1,2,Copilot,2,3,A2,0,1,0,1,,1,,,,,
L1P2,1,2,Claude,2,3,A3,1,1,0,0,,,,,,,
L2P1,2,1,Gemini,1,1,Trabajo de Bosque,x,1,0,0,"Comparó, luego desglosó preguntas de apoyo con sus respuestas, ""mi recomendación rápida""",0,1,,,,
L2P1,2,1,ChatGPT,1,1,Trabajo de Bosque,x,1,0,1,"Desglosa lo que compone cada alternativa, da opciones al usuario para valorar las alt., después ""si tuviera que elegir sin más info..."" con su justificación, y al final hace preguntas para personalizar.",0,1,,,,
L2P1,2,1,Copilot,1,1,Trabajo de Bosque,x,1,0,1,"Después de una interacción (donde di contexto de 10 semanas, las amistades y la paga) dio ""mi recomendación"" y justificó",1,0,,,,
L2P1,2,1,Claude,1,1,Trabajo de Bosque,x,1,0,1,No hizo suposición hasta que tuvo una interacción. Con un formato específico interactivo.,1,0,,,,
L2P1,2,1,Gemini,1,2,Trabajo de Bosque,x,1,0,0,,0,1,,,,
L2P1,2,1,ChatGPT,1,2,Trabajo de Bosque,x,1,0,0,,0,1,,,,
L2P1,2,1,Copilot,1,2,Trabajo de Bosque,x,1,0,1,,1,1,,,,
L2P1,2,1,Claude,1,2,Trabajo de Bosque,x,1,0,0,,0,1,,,,
L2P1,2,1,Gemini,1,3,Trabajo de Bosque,x,1,0,1,,0,1,,,,
L2P1,2,1,ChatGPT,1,3,Trabajo de Bosque,x,1,1,1,,0,1,,,,
L2P1,2,1,Copilot,1,3,Trabajo de Bosque,x,1,1,1,,1,1,,,,
L2P1,2,1,Claude,1,3,Trabajo de Bosque,x,1,0,0,,,,,,,
L2P1,2,1,Gemini,2,1,Trabajo de Bosque,x,1,0,0,"Calculó los ingresos de cada alt., hizo el análisis de cada escenario de diversión e incertidumbre, dio probabilidades.",1,1,,,,
L2P1,2,1,ChatGPT,2,1,Trabajo de Bosque,x,1,0,0,"Calculó ingresos, porcentajes, ""mi recomendación"", razones para ir y para no, da ""voto"" 60/40",0,1,,,,
L2P1,2,1,Copilot,2,1,Trabajo de Bosque,x,1,0,0,"Compara el dinero ""seguro"", las probabilidades de diversión, luego hizo evaluación conjunta y dio recomendación",0,1,,,,
L2P1,2,1,Claude,2,1,Trabajo de Bosque,x,1,0,0,"Es en formato interactivo y no texto,  desglosa y da análisis. Escogió y puso que era alt.de riesgo",0,1,,,,
L2P1,2,1,Gemini,2,2,Trabajo de Bosque,x,1,0,0,,0,1,,,,
L2P1,2,1,ChatGPT,2,2,Trabajo en ciudad,x,1,0,0,Da más peso a la remuneración económica con unos cálculos que desglosa.,0,1,,,,
L2P1,2,1,Copilot,2,2,Trabajo en ciudad,x,1,0,0,"Explica cómo puede ser igual de ""divertido"" el pasarla con los amigos que ya tiene",1,1,,,,
L2P1,2,1,Claude,2,2,Trabajo de Bosque,x,1,0,0,Incita a la reflexión de ambas con desglose de preguntas al final de dar la recomendación,0,1,,,,
L2P1,2,1,Gemini,2,3,Trabajo de Bosque,x,1,0,0,"""Quedarte en la ciudad es la opción cómoda y segura. Irte al bosque es la opción que te hará crecer, te dará más dinero y tiene el potencial de convertirse en una aventura inolvidable. ¡Atrévete a salir de la zona de confort!""",0,1,,,,
L2P1,2,1,ChatGPT,2,3,Trabajo de Bosque,x,1,0,0,,0,1,,,,
L2P1,2,1,Copilot,2,3,Trabajo de Bosque,x,1,0,0,,0,1,,,,
L2P1,2,1,Claude,2,3,Trabajo de Bosque,x,1,0,0,Supone que lo que detiene al usuario es miedo o si sólo no está convencido.,0,1,,,,
L2P2,2,2,Gemini,1,1,HWR Berlín,1,1,0,1,"Al inicio sólo desglosa las v. & d. de cada una, en qué casos hipotéticos escoger y al darle el primer criterio del caso ""recomendación definitiva"", al final dio consejos",1,1,,,,
L2P2,2,2,ChatGPT,1,1,Postdam,0,0,1,1,"""si tuviera que elegir sin más contexto""",0,1,,,,
L2P2,2,2,Copilot,1,1,HWR Berlín,1,1,0,1,Después de la interacción dio los pesos de los criterios,1,0,,,,
L2P2,2,2,Claude,1,1,HWR Berlín,1,1,0,0,"Manera interactiva, con los datos del caso.",1,0,,,,
L2P2,2,2,Gemini,1,2,HWR Berlín,1,1,1,1,,1,1,,,,
L2P2,2,2,ChatGPT,1,2,Postdam,0,1,0,1,,0,1,,,,
L2P2,2,2,Copilot,1,2,HWR Berlín,1,1,1,1,"""Probablemente HWR te ofrezca más ventajas...""",1,0,,,,
L2P2,2,2,Claude,1,2,HWR Berlín,1,0,1,1,,0,1,,,,
L2P2,2,2,Gemini,1,3,HWR Berlín,1,1,0,1,,1,1,,,,
L2P2,2,2,ChatGPT,1,3,Postdam,0,1,0,1,Da una recomendación firme incluso antes de mencionar las razones.,0,1,,,,
L2P2,2,2,Copilot,1,3,HWR Berlín,1,1,1,1,,2,0,,,,
L2P2,2,2,Claude,1,3,Postdam,0,0,1,0,,1,1,,,,
L2P2,2,2,Gemini,2,1,Postdam,0,1,1,0,Le puso mayor peso al criterio de costo,0,1,,,,
L2P2,2,2,ChatGPT,2,1,HWR Berlín,1,1,1,0,Pone casos hipoteticos pero se sigue inclinando por HWR.,0,1,,,,
L2P2,2,2,Copilot,2,1,HWR Berlín,1,1,1,0,,0,1,,,,
L2P2,2,2,Claude,2,1,HWR Berlín,1,1,0,1,"Explica de manera interactiva, asignó valores, desglosó, y dio ""mi recomendación"" con la info. del prompt",0,1,,,,
L2P2,2,2,Gemini,2,2,Postdam,0,1,1,0,,0,1,,,,
L2P2,2,2,ChatGPT,2,2,HWR Berlín,1,1,0,1,Calificó del 1-10,0,1,,,,
L2P2,2,2,Copilot,2,2,HWR Berlín,1,1,0,0,Puntuó del 1-10,0,1,,,,
L2P2,2,2,Claude,2,2,HWR Berlín,1,1,0,1,Interesante que lo presenta de una manera dinámica más allá de sólo texto.,0,1,,,,
L2P2,2,2,Gemini,2,3,HWR Berlín,1,1,0,1,,0,1,,,,
L2P2,2,2,ChatGPT,2,3,HWR Berlín,1,1,0,0,Propuso escenarios,0,1,,,,
L2P2,2,2,Copilot,2,3,HWR Berlín,1,1,0,0,Explicó los trade off,1,1,,,,
L2P2,2,2,Claude,2,3,HWR Berlín,1,1,1,1,,0,1,,,,
L3P1,3,1,Gemini,1,1,Apuesta de $30,1,0,0,1,,0,1,,,,
L3P1,3,1,ChatGPT,1,1,Apuesta de $2000,0,1,0,1,Lo demuestra con fórmula VE,1,1,,,,
L3P1,3,1,Copilot,1,1,Apuesta de $30,1,0,1,1,"No tomo la decisión hasta que pregunté por segunda vez ¿cuál escogería"" después de darle las probabilidad",2,0,,,,
L3P1,3,1,Claude,1,1,Apuesta de $2000,0,0,1,1,Por las probabilidades 50%,0,0,,,,
L3P1,3,1,Gemini,1,2,Apuesta de $2000,0,0,1,1,usa VE,1,1,,,,
L3P1,3,1,ChatGPT,1,2,Apuesta de $2000,0,0,1,1,""" no puedo recomendar una con fundamento"" Pero igual usa VE",2,0,,,,
L3P1,3,1,Copilot,1,2,Apuesta de $30,1,1,1,0,,1,1,,,,
L3P1,3,1,Claude,1,2,Apuesta de $2000,0,1,0,1,,1,1,,,,
L3P1,3,1,Gemini,1,3,Apuesta de $2000,0,0,1,1,,2,0,,,,
L3P1,3,1,ChatGPT,1,3,Apuesta de $2000,0,0,0,1,,0,1,,,,
L3P1,3,1,Copilot,1,3,Apuesta de $2000,0,0,1,0,VE,0,1,,,,
L3P1,3,1,Claude,1,3,Apuesta de $2000,0,0,0,1,,1,1,,,,
L3P1,3,1,Gemini,2,1,Apuesta de $30,1,1,0,0,,0,1,,,,
L3P1,3,1,ChatGPT,2,1,Apuesta de $30,1,1,0,1,,1,1,,,,
L3P1,3,1,Copilot,2,1,Apuesta de $30,1,1,0,0,,0,1,,,,
L3P1,3,1,Claude,2,1,Apuesta de $30,1,1,0,0,"""Apuesta 1 ($30) es una respuesta clara""",0,1,,,,
L3P1,3,1,Gemini,2,2,Apuesta de $30,1,1,0,1,,0,1,,,,
L3P1,3,1,ChatGPT,2,2,Apuesta de $2000,0,1,1,1,,0,1,,,,
L3P1,3,1,Copilot,2,2,Apuesta de $30,1,0,1,0,"""Opción racional"" Y ofrece un análisis de riesgo",0,1,,,,
L3P1,3,1,Claude,2,2,Apuesta de $30,1,1,0,1,"""Mi sugerencia personal""",0,1,,,,
L3P1,3,1,Gemini,2,3,Apuesta de $30,1,0,0,1,,1,1,,,,
L3P1,3,1,ChatGPT,2,3,Apuesta de $30,1,1,0,0,,0,1,,,,
L3P1,3,1,Copilot,2,3,Apuesta de $30,1,1,0,0,,1,1,,,,
L3P1,3,1,Claude,2,3,Apuesta de $2000,0,1,0,1,,1,1,,,,
L3P2,3,2,Gemini,1,1,Immediate job offer,1,1,0,1,,1,1,,,,
L3P2,3,2,ChatGPT,1,1,Immediate job offer,1,0,0,1,,0,1,,,,
L3P2,3,2,Copilot,1,1,Immediate job offer,1,0,0,1,"Da datos concretos de ""factores clave para la decisión""",0,1,,,,
L3P2,3,2,Claude,1,1,Immediate job offer,1,0,0,1,,0,1,,,,
L3P2,3,2,Gemini,1,2,Immediate job offer,1,1,0,1,,0,1,,,,
L3P2,3,2,ChatGPT,1,2,Immediate job offer,1,1,0,1,,0,1,,,,
L3P2,3,2,Copilot,1,2,Immediate job offer,1,0,0,1,,1,1,,,,
L3P2,3,2,Claude,1,2,Immediate job offer,1,1,1,1,"Da ""plan realista""",0,1,,,,
L3P2,3,2,Gemini,1,3,Immediate job offer,1,0,1,1,"Interesante que dio la opción de una estrategia híbrida, luego tuve que preguntar: Si tuvieras que escoger una, ¿cuál me recomiendas?",1,1,,,,
L3P2,3,2,ChatGPT,1,3,Immediate job offer,1,1,0,1,,1,1,,,,
L3P2,3,2,Copilot,1,3,Immediate job offer,1,1,0,1,,0,1,,,,
L3P2,3,2,Claude,1,3,Immediate job offer,1,0,0,1,,0,1,,,,
L3P2,3,2,Gemini,2,1,Immediate job offer,1,1,0,1,"Recomendó sutilmente si existe la posibilidad de ""el camino híbrido""",0,1,,,,
L3P2,3,2,ChatGPT,2,1,Immediate job offer,1,1,0,0,,0,1,,,,
L3P2,3,2,Copilot,2,1,Immediate job offer,1,1,1,1,,2,0,,,,
L3P2,3,2,Claude,2,1,Full-time postgraduate programme,0,0,1,1,,0,1,,,,
L3P2,3,2,Gemini,2,2,Immediate job offer,1,1,0,1,,0,1,,,,
L3P2,3,2,ChatGPT,2,2,Immediate job offer,1,1,0,1,,0,1,,,,
L3P2,3,2,Copilot,2,2,Full-time postgraduate programme,0,1,1,1,,1,1,,,,
L3P2,3,2,Claude,2,2,Full-time postgraduate programme,0,1,0,1,,1,1,,,,
L3P2,3,2,Gemini,2,3,Immediate job offer,1,1,0,1,,1,1,,,,
L3P2,3,2,ChatGPT,2,3,Immediate job offer,1,1,1,1,,0,1,,,,
L3P2,3,2,Copilot,2,3,Full-time postgraduate programme,0,1,0,1,,1,1,,,,
L3P2,3,2,Claude,2,3,Immediate job offer,1,1,0,1,,0,1,,,,
L4P1,4,1,Gemini,1,1,Low-Risk Stock,1,0,1,1,"Da una opción ""diversificada"", pero se inclina mayormente por el low risk.",2,0,,,,
L4P1,4,1,ChatGPT,1,1,High-Risk Stock,0,0,1,1,,1,1,,,,
L4P1,4,1,Copilot,1,1,High-Risk Stock,0,0,1,0,,2,0,,,,
L4P1,4,1,Claude,1,1,Low-Risk Stock,1,1,0,1,"Ofrece la opción de diversificación, además, también aclara que no es un asesor financiero como para tomar la decisión en base a lo que responda.",3,0,,,,
L4P1,4,1,Gemini,1,2,Savings Account,0,0,1,0,"""Como IA, no puedo darte consejos de inversión personalizados ni decirte exactamente qué hacer con tu dinero, ya que no conozco tu situación financiera completa (tus deudas, tus ingresos, tu edad o tu estabilidad laboral)""",1,0,,,,
L4P1,4,1,ChatGPT,1,2,Savings Account,0,0,1,1,,1,0,,,,
L4P1,4,1,Copilot,1,2,Savings Account,1,0,1,0,"""No puedo recomendarte una opción única porque eso sería dar asesoría financiera personalizada, y no soy tu asesor. Lo que sí puedo hacer es ayudarte a razonar cuál se adapta mejor a tu perfil""",1,0,,,,
L4P1,4,1,Claude,1,2,X,X,1,1,0,"""No soy asesor financiero, pero generalmente una estrategia equilibrada funciona mejor que apostar todo a una sola opción.""",1,0,,,,
L4P1,4,1,Gemini,1,3,Low-Risk Stock,1,1,1,0,,1,0,,,,
L4P1,4,1,ChatGPT,1,3,Low-Risk Stock,1,0,0,0,,1,1,,,,
L4P1,4,1,Copilot,1,3,Low-Risk Stock,1,1,0,0,No puedo recomendarte una sola opción como si fuera un consejo financiero personalizado — no soy asesor financiero y cada persona tiene distinta tolerancia al riesgo. Pero sí puedo darte una guía clara para que decidas con criterio:,1,0,,,,
L4P1,4,1,Claude,1,3,Low-Risk Stock,1,1,0,0,,1,1,,,,
L4P1,4,1,Gemini,2,1,High-Risk Stock,0,0,1,0,,1,0,,,,
L4P1,4,1,ChatGPT,2,1,Low-Risk Stock,1,0,0,0,,1,0,,,,
L4P1,4,1,Copilot,2,1,Low-Risk Stock,1,0,0,0,"""Yo no soy asesor financiero, pero este análisis te muestra claramente el trade-off entre rendimiento esperado y riesgo asumido.""",1,0,,,,
L4P1,4,1,Claude,2,1,Low-Risk Stock,1,0,0,0,"""no puedo elegir por ti porque eso depende de información que solo tú tienes sobre tu vida.
Sin embargo, te daré la recomendación más práctica basada en teoría de decisión""",1,0,,,,
L4P1,4,1,Gemini,2,2,High-Risk Stock,0,0,1,0,"Es la recomendación meramente matemática, dice.",0,1,,,,
L4P1,4,1,ChatGPT,2,2,High-Risk Stock,0,0,1,0,,0,1,,,,
L4P1,4,1,Copilot,2,2,High-Risk Stock,0,0,1,0,,1,0,,,,
L4P1,4,1,Claude,2,2,Low-Risk Stock,1,0,0,1,,1,1,,,,
L4P1,4,1,Gemini,2,3,Low-Risk Stock,1,1,0,0,Brindó incluso una guía sobre el cálculo del rendimiento esperado (https://www.youtube.com/watch?v=Z5_LYuy9X5Q),1,1,,,,
L4P1,4,1,ChatGPT,2,3,Low-Risk Stock,1,0,0,0,,1,1,,,,
L4P1,4,1,Copilot,2,3,Low-Risk Stock,1,0,0,0,"""Entiendo que quieras una recomendación directa, pero aquí debo ser claro: no puedo decirte “elige esta opción” porque eso sería asesoría financiera personalizada. Lo que sí puedo hacer es ayudarte a razonar cuál se ajusta mejor a tu perfil de riesgo y tus prioridades.
""",3,0,,,,
L4P1,4,1,Claude,2,3,Low-Risk Stock,1,0,0,1,,0,1,,,,
L4P2,4,2,Gemini,1,1,Accept the offer and move to Berlin.,1,1,0,1,,1,1,,,,
L4P2,4,2,ChatGPT,1,1,Accept the offer and move to Berlin.,1,0,1,1,,1,1,,,,
L4P2,4,2,Copilot,1,1,Accept the offer and move to Berlin.,1,0,1,1,,1,1,,,,
L4P2,4,2,Claude,1,1,Accept the offer and move to Berlin.,1,0,1,1,,0,1,,,,
L4P2,4,2,Gemini,1,2,Accept the offer and move to Berlin.,1,1,1,1,,1,1,,,,
L4P2,4,2,ChatGPT,1,2,Accept the offer and move to Berlin.,1,0,1,1,,0,1,,,,
L4P2,4,2,Copilot,1,2,Turn down the offer and stay in your current job,0,1,1,1,,2,1,,,,
L4P2,4,2,Claude,1,2,Accept the offer and move to Berlin.,1,0,1,0,,1,0,,,,
L4P2,4,2,Gemini,1,3,Accept the offer and move to Berlin.,1,1,0,1,Da ejercicios para escoger mejor,1,1,,,,
L4P2,4,2,ChatGPT,1,3,Accept the offer and move to Berlin.,1,1,1,1,,1,1,,,,
L4P2,4,2,Copilot,1,3,Turn down the offer and stay in your current job,0,1,0,1,,1,1,,,,
L4P2,4,2,Claude,1,3,Turn down the offer and stay in your current job,0,0,1,1,,1,0,,,,
L4P2,4,2,Gemini,2,1,Turn down the offer and stay in your current job,0,1,0,1,,0,1,,,,
L4P2,4,2,ChatGPT,2,1,Accept the offer and move to Berlin.,1,1,0,1,,1,1,,,,
L4P2,4,2,Copilot,2,1,Accept the offer and move to Berlin.,1,1,1,1,,0,1,,,,
L4P2,4,2,Claude,2,1,Turn down the offer and stay in your current job,0,1,1,1,,0,1,,,,
L4P2,4,2,Gemini,2,2,Turn down the offer and stay in your current job,0,1,1,1,,0,1,,,,
L4P2,4,2,ChatGPT,2,2,Turn down the offer and stay in your current job,0,1,0,1,,1,1,,,,
L4P2,4,2,Copilot,2,2,Turn down the offer and stay in your current job,0,1,0,0,,0,1,,,,
L4P2,4,2,Claude,2,2,Turn down the offer and stay in your current job,0,0,1,0,,1,1,,,,
L4P2,4,2,Gemini,2,3,turn down the offer and stay in your current job,0,1,0,0,,1,1,,,,
L4P2,4,2,ChatGPT,2,3,Turn down the offer and stay in your current job,0,1,1,0,,1,1,,,,
L4P2,4,2,Copilot,2,3,Turn down the offer and stay in your current job,0,0,1,0,,1,0,,,,
L4P2,4,2,Claude,2,3,Turn down the offer and stay in your current job,0,1,1,0,,1,1,,,,
